N,rowLength,MKL,1,LOAD,2,LOOKUP,3,PARTIAL,4,CUTOFF,5,MULTILOAD,6,MULTIROW,7
4096,12,15.8779, 0.282273,116.986, 2.84937,129.661, 3.16599,150.419, 3.35246,179.539, 3.70746,210.552, 4.76811,202.177, 4.98267
4096,16,15.8381, 0.476417,122.426, 2.8717,168.628, 5.05488,203.755, 4.74338,202.607, 4.92136,219.873, 4.59191,207.752, 4.90597
4096,20,14.6784, 0.530331,137.514, 4.77085,202.176, 4.8716,213.44, 4.92493,212.07, 4.58839,221.617, 4.60693,222.044, 4.82947
4096,24,18.1431, 0.710726,111.657, 2.7118,168.886, 4.93944,225.428, 4.39058,219.302, 4.81805,221.502, 5.44754,212.001, 5.05072
4096,28,18.0438, 0.733557,118.988, 2.01014,149.037, 3.48499,213.264, 5.02172,218.154, 4.50953,229.482, 4.23879,223.464, 4.33199
4096,32,17.6241, 0.716148,113.184, 1.88923,121.484, 1.08982,135.239, 1.20832,151.65, 3.01769,212.563, 4.88672,210.216, 4.90732
4096,36,16.8945, 0.63332,111.356, 2.73562,128.647, 1.26384,139.113, 1.65656,190.429, 5.72035,238.9, 4.4731,229.149, 3.97147
4096,40,16.0912, 0.476464,115.04, 2.79704,158.861, 2.86925,212.429, 3.48909,244.404, 4.4401,231.239, 4.96327,221.443, 4.94128
262144,12,675.814, 5.10179,855.045, 5.79812,891.402, 0.400854,997.573, 2.12485,1063.7, 1.00477,1132.89, 1.51288,974.437, 7.19755
262144,16,878.837, 4.69761,1383.22, 9.59429,1533.11, 6.59205,1891.39, 8.43257,1336.32, 2.29608,2215.37, 2.95875,1482.77, 4.91611
262144,20,1317.4, 16.0756,1639.01, 16.2915,1661.65, 43.7758,1973.56, 7.22528,2171.49, 52.8016,2107.08, 50.9591,1795.09, 41.1904
262144,24,1514.62, 19.2559,1957.89, 44.5912,1958.25, 37.7163,2345.25, 8.9782,2479.68, 30.804,2483.75, 8.19028,2210.46, 33.3641
262144,28,1655.86, 19.964,2267.55, 53.6333,2208.09, 36.3898,2356.26, 9.79703,2644.42, 34.0852,2627.04, 9.05892,2357.48, 55.862
262144,32,1919.33, 14.4653,2920.17, 12.103,2901.34, 6.35946,3726.66, 12.493,3066.97, 8.7233,3847.25, 5.63442,2733.45, 4.27703
262144,36,2339.47, 12.0001,3257.54, 15.7323,3386.33, 11.6062,3959.32, 5.70935,3421.14, 7.48788,3919.5, 5.36521,2901.44, 2.60613
262144,40,2533.18, 14.4021,3478.96, 16.7017,3709.72, 15.0414,4390.3, 6.46909,3860.31, 5.16151,4455.75, 5.88465,3457.03, 8.87184
8388608,8,69032.8, 179.052,66879.9, 113.095,66886.5, 51.4418,80088.8, 77.3154,87586.4, 60.0816,87248, 59.8967,66586.2, 49.0729
8388608,12,92207.8, 267.767,99167.1, 181.857,99126.1, 78.9973,102859, 85.5966,115040, 83.7684,111123, 94.1806,103354, 80.0301
8388608,16,112432, 311.195,127530, 227.673,125487, 133.422,155966, 172.762,124787, 351.053,243685, 1108.25,190270, 232.088
8388608,20,140705, 261.987,161319, 181.768,160628, 90.0691,173672, 116.65,179520, 115.992,181476, 266.067,164622, 369.953
8388608,24,159723, 316.287,190975, 197.123,190875, 135.377,196539, 196.816,210544, 463.264,211073, 482.675,272841, 906.27
8388608,28,178361, 414.134,224264, 260.642,226423, 591.756,335667, 1176.04,351868, 444.426,348486, 497.709,332441, 380.891
8388608,32,200077, 513.69,247933, 291.622,245112, 751.661,288171, 462.513,368416, 615.263,405538, 499.076,371162, 408.253
8388608,36,227275, 604.615,284571, 241.57,284571, 974.641,441206, 1063.71,433551, 391.026,451116, 412.024,391229, 530.388
8388608,40,247210, 714.081,314269, 323.897,312590, 991.532,386437, 1451.54,486297, 496.483,493941, 464.222,424276, 479.929
