Matrix,MKL,MKL_BW,MULTIROW,MULTIROW_BW,ELLPACK,ELLPACK_BW,TRANSPOSED_ELLPACK,TRANSPOSED_ELLPACK_BW
atmosmodd,2.46152,0.0205177,1.7078,0.029573,1.65797,0.0306503,1.55588,0.0326614
cant,0.345596,0.0485507,0.373357,0.0449407,0.528213,0.0383067,0.520607,0.0388664
consph,0.703739,0.0355841,0.758776,0.033003,0.820787,0.0341139,0.820176,0.0341393
crankseg_2,2.5242,0.0227246,2.86215,0.0200414,34.4644,0.0253837,34.5552,0.025317
Ga41As41H72,3.1996,0.024119,3.49304,0.0220928,29.8192,0.0253538,29.8434,0.0253332
inline_1,7.73949,0.0198088,7.98102,0.0192093,68.174,0.0250031,67.8959,0.0251055
ldoor,8.6225,0.0229071,8.20928,0.0240601,12.2009,0.024974,12.1025,0.025177
mac_econ_fwd500,0.268378,0.0282123,0.242892,0.0311725,1.31988,0.0294133,1.23881,0.0313381
mouse_gene,4.9138,0.0236905,5.69337,0.0204467,57.1519,0.025363,57.2486,0.0253202
pdb1HYS,0.371235,0.0479913,0.44508,0.0400289,0.926437,0.0325476,0.921198,0.0327327
pwtk,1.72845,0.0284374,1.71445,0.0286696,6.16044,0.0258936,6.10628,0.0261233
rma10,0.235817,0.0426517,0.296605,0.0339105,0.828615,0.033461,0.820125,0.0338074
