Vertices,Density,CSR w/o MKL,CI w 0.95,BW,CI w 0.95,CSR w/ MKL,CI w 0.95,BW,CI w 0.95,
131072,0.1,2243.42, 9.12064, 31.3287, 0.110353, 1596.69, 23.0382, 44.147, 0.40328, 
131072,0.2,4239.17, 15.0798, 32.7691, 0.102504, 3200.21, 13.685, 43.4124, 0.156606, 
131072,0.3,6248.66, 6.89409, 33.1956, 0.0362377, 4745.04, 17.1478, 43.7258, 0.137871, 
131072,0.4,8255.96, 28.0536, 33.4272, 0.0990369, 6284.52, 6.7641, 43.9034, 0.0471586, 
131072,0.5,10240.4, 26.9891, 33.6282, 0.0810915, 7844.62, 15.539, 43.8956, 0.0817348, 
131072,0.6,12220.4, 31.7581, 33.773, 0.0816398, 9403.46, 25.8461, 43.8908, 0.108264, 
131072,0.7,14282.1, 76.6797, 33.6963, 0.166195, 10941.9, 55.0465, 43.976, 0.178727, 
131072,0.8,16143.7, 47.7872, 34.0224, 0.0893887, 12460, 34.6891, 44.08, 0.108776, 
131072,0.9,18256.9, 84.2874, 33.8279, 0.14782, 14019, 50.0182, 44.0443, 0.140883, 
131072,1,20390.5, 95.3968, 33.6288, 0.150852, 15537.4, 50.3684, 44.12, 0.12897, 
131072,1.1,22366.1, 106.508, 33.7007, 0.153308, 17071.1, 56.2189, 44.1408, 0.13425, 
131072,1.2,24268.7, 105.288, 33.8564, 0.139669, 18587.8, 71.3201, 44.1989, 0.155885, 
131072,1.3,26218.6, 117.076, 33.929, 0.145603, 20125.2, 73.5357, 44.1944, 0.14901, 
131072,1.4,28137.3, 145.586, 34.0318, 0.168117, 21691.8, 88.8007, 44.133, 0.167892, 
131072,1.5,30091.3, 162.135, 34.0753, 0.173588, 23224.9, 104.765, 44.1401, 0.183575, 
131072,1.6,31998.1, 119.809, 34.1488, 0.121824, 24803.9, 96.3198, 44.0544, 0.160669, 
131072,1.7,33994.4, 140.686, 34.1351, 0.134578, 26249.6, 94.8474, 44.2021, 0.150529, 
131072,1.8,36235, 575.996, 34.0037, 0.327686, 27728.1, 119.251, 44.2867, 0.179233, 
131072,1.9,38688.3, 768.402, 33.6725, 0.410732, 29449.1, 132.205, 43.9924, 0.18608, 
131072,2,42686.1, 1053.37, 32.2894, 0.620267, 30899.8, 134.841, 44.1083, 0.181922, 
131072,2.1,43776.7, 1004.91, 32.9887, 0.482267, 32543.7, 155.074, 43.9535, 0.198466, 
131072,2.2,45548.4, 860.051, 33.2248, 0.397363, 34067.7, 170.871, 43.9647, 0.208981, 
131072,2.3,47167.7, 720.26, 33.5595, 0.302477, 35525.9, 185.062, 44.0551, 0.218055, 
131072,2.4,48867.7, 623.55, 33.7804, 0.230906, 37048.9, 180.451, 44.0535, 0.204143, 
131072,2.5,50166.4, 502.704, 34.1576, 0.145298, 38399.2, 192.079, 44.2532, 0.211993, 
131072,2.6,52816.9, 673.67, 33.8871, 0.234355, 39959.4, 203.567, 44.2038, 0.216264, 
131072,2.7,54081.4, 562.324, 34.1751, 0.15266, 41542.1, 230.97, 44.1374, 0.23648, 
131072,2.8,56503.7, 731.088, 33.9846, 0.230342, 43013.4, 234.12, 44.1816, 0.23154, 
131072,2.9,58150.1, 689.764, 34.1056, 0.18595, 44479.2, 225.859, 44.2235, 0.216966, 
131072,3,60231.8, 803.289, 34.079, 0.232598, 45998.2, 271.512, 44.2244, 0.252088, 
